USN,CC,CD,EDM,BDA,OE,PE
1NT16CS001,51,40,37,63,66,73
1NT16CS002,89,18,65,68,54,72
1NT16CS003,96,25,62,58,36,65
1NT16CS004,96,24,53,67,62,64
1NT16CS005,18,38,55,78,70,38
1NT16CS006,81,32,38,43,71,33
1NT16CS007,46,84,58,84,36,44
1NT16CS008,76,40,64,82,38,72
1NT16CS009,40,80,36,54,37,72
1NT16CS010,91,89,58,67,34,75
1NT16CS011,33,93,65,74,48,60
1NT16CS012,15,53,52,46,42,51
1NT16CS013,11,90,31,60,73,60
1NT16CS014,73,30,23,54,52,34
1NT16CS015,80,60,41,57,50,52
1NT16CS016,44,75,59,57,58,33
1NT16CS017,63,49,42,66,35,59
1NT16CS018,93,34,68,38,34,71
1NT16CS019,43,63,57,76,70,52
1NT16CS020,24,83,50,62,57,63
1NT16CS021,82,54,65,37,40,37
1NT16CS022,74,58,57,76,70,40
1NT16CS023,49,19,66,37,35,42
1NT16CS024,66,97,44,69,56,70
1NT16CS025,75,90,23,42,39,66
1NT16CS026,51,68,59,42,66,39
1NT16CS027,51,54,52,36,40,62
1NT16CS028,26,50,33,36,60,53
1NT16CS029,81,34,24,42,48,74
1NT16CS030,71,49,56,83,62,49
1NT16CS031,47,21,42,47,41,42
1NT16CS032,83,47,57,57,37,63
1NT16CS033,69,31,30,44,58,37
1NT16CS034,72,32,67,72,72,57
1NT16CS035,81,64,30,54,49,44
1NT16CS036,64,62,28,73,37,66
1NT16CS037,49,51,68,70,71,73
1NT16CS038,72,63,69,39,74,75
1NT16CS039,57,68,32,59,45,71
1NT16CS040,39,24,68,62,72,70
1NT16CS041,94,80,47,56,34,59
1NT16CS042,51,58,58,65,44,46
1NT16CS043,11,55,31,51,60,57
1NT16CS044,55,85,65,73,60,47
1NT16CS045,35,60,53,78,58,56
1NT16CS046,57,74,46,37,52,60
1NT16CS047,28,87,24,78,39,71
1NT16CS048,60,81,57,53,62,71
1NT16CS049,51,45,68,60,44,66
1NT16CS050,45,63,67,54,62,44
1NT16CS051,65,44,59,88,58,61
1NT16CS052,76,34,66,89,55,81
1NT16CS053,71,63,41,88,44,82
1NT16CS054,77,38,68,75,61,70
1NT16CS055,62,78,64,46,44,69
1NT16CS056,85,41,23,47,65,62
1NT16CS057,97,67,47,79,61,84
1NT16CS058,30,50,69,73,44,63
1NT16CS059,13,23,36,69,49,86
1NT16CS060,41,25,61,64,66,84
1NT16CS061,61,13,64,41,43,84
1NT16CS062,13,50,43,72,73,80
1NT16CS063,94,70,47,81,67,86
1NT16CS064,58,56,31,55,57,61
1NT16CS065,47,57,59,89,73,79
1NT16CS066,55,13,59,75,42,62
1NT16CS067,98,17,25,51,45,66
1NT16CS068,39,40,37,89,62,69
1NT16CS069,73,89,35,92,50,70
1NT16CS070,15,73,31,90,67,84
1NT16CS071,56,93,35,85,45,77
1NT16CS072,71,60,33,48,61,78
1NT16CS073,46,50,58,55,55,69
1NT16CS074,57,56,64,92,71,81
1NT16CS075,68,97,30,61,46,74
1NT16CS076,55,65,60,82,54,86
1NT16CS077,81,94,28,72,52,85
1NT16CS078,53,96,28,80,47,83
1NT16CS079,86,91,38,60,69,70
1NT16CS080,99,11,69,62,63,81
1NT16CS081,25,78,42,48,56,80
1NT16CS082,82,52,47,87,67,63
1NT16CS083,37,38,66,68,51,77
1NT16CS084,17,35,31,63,61,80
1NT16CS085,22,44,64,87,59,78
1NT16CS086,68,43,49,80,67,71
1NT16CS087,89,82,47,54,47,84
1NT16CS088,22,67,28,70,44,61
1NT16CS089,46,25,51,84,69,61
1NT16CS090,83,31,38,73,73,65
1NT16CS091,49,33,33,49,44,64
1NT16CS092,75,61,67,84,53,73
1NT16CS093,41,38,64,92,43,75
1NT16CS094,45,63,55,89,43,69
1NT16CS095,46,78,27,62,51,69
1NT16CS096,43,66,39,75,55,75
1NT16CS097,21,20,48,70,71,84
1NT16CS098,34,58,28,52,46,84
1NT16CS099,80,40,24,87,50,84
1NT16CS100,83,24,46,88,48,64
1NT16CS101,94,70,72,55,73,73
1NT16CS102,88,50,57,80,43,79
1NT16CS103,86,67,75,42,56,83
1NT16CS104,94,54,74,68,47,67
1NT16CS105,93,91,62,86,59,71
1NT16CS106,71,62,75,87,56,82
1NT16CS107,96,66,48,67,48,80
1NT16CS108,98,61,53,78,45,65
1NT16CS109,91,64,35,71,52,66
1NT16CS110,79,89,58,77,70,70
1NT16CS111,89,52,38,51,45,78
1NT16CS112,72,52,58,88,73,67
1NT16CS113,96,65,45,82,50,73
1NT16CS114,57,66,73,72,65,61
1NT16CS115,85,56,47,75,64,85
1NT16CS116,96,59,84,88,47,83
1NT16CS117,97,87,70,72,73,72
1NT16CS118,97,79,53,47,66,85
1NT16CS119,86,83,50,80,50,71
1NT16CS120,74,87,43,62,56,69
1NT16CS121,99,74,66,47,53,74
1NT16CS122,67,83,64,65,58,71
1NT16CS123,83,64,42,77,62,65
1NT16CS124,73,67,71,83,67,85
1NT16CS125,79,81,48,90,63,78
1NT16CS126,93,56,47,49,57,75
1NT16CS127,67,61,46,55,69,73
1NT16CS128,76,77,43,77,51,85
1NT16CS129,88,73,42,74,68,62
1NT16CS130,71,57,73,51,53,78
1NT16CS131,57,58,58,78,46,70
1NT16CS132,81,89,51,52,65,69
1NT16CS133,84,74,47,63,66,65
1NT16CS134,71,76,38,55,53,78
1NT16CS135,70,51,80,59,53,68
1NT16CS136,76,84,68,43,64,86
1NT16CS137,85,76,84,82,72,72
1NT16CS138,79,81,82,48,58,63
1NT16CS139,67,77,67,74,65,74
1NT16CS140,71,69,40,88,60,77
1NT16CS141,83,52,38,53,45,66
1NT16CS142,76,80,43,77,66,80
1NT16CS143,97,69,63,42,58,74
1NT16CS144,79,58,61,84,70,84
1NT16CS145,74,82,68,87,55,84
1NT16CS146,86,86,39,68,43,66
1NT16CS147,95,81,83,78,54,61
1NT16CS148,98,68,49,87,71,62
1NT16CS149,67,53,54,71,68,68
1NT16CS150,70,85,35,77,59,63
